Organization,Country,Lattitude,Longitude,Industry,Organization size,Owner,Lead acquisition date,Product,Status,Status sequence,Stage,Stage sequence,"Deal Value, $","Probability, %",Expected close date,Actual close date,,
"Kemmer, Crona and Dietrich",Austria,48.210033,16.363449,Transportation & Logistics,Medium (201-500),Emily Johnson,3/9/24,SAAS,Churned Customer,7,,,7969,30,6/15/24,7/6/24,,
Bruen and Sons,Netherlands,52.370216,4.895168,Transportation & Logistics,Medium (201-500),Michael Brown,4/28/24,SAAS,Churned Customer,7,,,1295,40,12/24/24,8/22/24,,
"Hickle, Rutherford and Ritchie",Netherlands,52.370216,4.895168,Agriculture & Mining,Medium (201-500),Laura Thompson,2/13/24,Custom solution,Churned Customer,7,,,3184,100,6/21/24,2/15/24,,
"Hegmann, Jones and Schiller",Portugal,38.736946,-9.142685,IT & IT Services,Medium (201-500),Emily Johnson,4/24/24,SAAS,Churned Customer,7,,,2931,80,12/5/24,5/7/24,,
"Heidenreich, Bergnaum and Gleason",Spain,40.416775,-3.703790,Education & Science,Medium (201-500),Jessica Martinez,1/30/24,SAAS,Churned Customer,7,,,7888,10,8/9/24,2/28/24,,
Senger-Deckow,Germany,52.520008,13.404954,Retail & Distribution,Medium (201-500),Emily Johnson,3/30/24,SAAS,Churned Customer,7,,,6007,50,11/22/24,7/8/24,,
"Krajcik, Hagenes and Cronin",Germany,52.520008,13.404954,Recreation & Sports,Medium (201-500),Emily Johnson,1/19/24,SAAS,Churned Customer,7,,,6718,60,3/5/24,2/23/24,,
"Parisian, Kub and Wilderman",Italy,41.902782,12.496366,Government Administration Healthcare,Medium (201-500),Sarah Davis,1/31/24,SAAS,Churned Customer,7,,,4828,100,1/25/25,2/16/24,,
Funk-Herman,Portugal,38.736946,-9.142685,Education & Science,Medium (201-500),Emily Johnson,4/19/24,SAAS,Churned Customer,7,,,3672,90,8/24/24,7/27/24,,
Mraz Group,Spain,40.416775,-3.703790,Transportation & Logistics,Medium (201-500),Laura Thompson,3/23/24,Custom solution,Churned Customer,7,,,4088,20,11/28/24,6/9/24,,
Oberbrunner-Moore,Portugal,38.736946,-9.142685,Education & Science,Medium (201-500),David Wilson,2/4/24,Services,Churned Customer,7,,,1748,60,3/17/24,2/23/24,,
McLaughlin-Schmidt,France,48.864716,2.349014,Manufacturing & Production,Medium (201-500),Sarah Davis,2/15/24,Custom solution,Churned Customer,7,,,3420,80,10/4/24,4/8/24,,
"Hane, Berge and Gleason",Switzerland,46.204391,6.143158,Professional Services  & Consulting,Medium (201-500),Jessica Martinez,5/5/24,Services,Churned Customer,7,,,3736,90,10/7/24,7/4/24,,
Mynte,Italy,41.902782,12.496366,Education & Science,Large (501-1000),Michael Brown,4/3/24,SAAS,Churned Customer,7,,,13020,30,10/13/24,5/11/24,,
"Borer, Cremin and Rolfson",Switzerland,46.204391,6.143158,Government Administration Healthcare,Large (501-1000),Sarah Davis,5/29/24,Services,Churned Customer,7,,,12088,60,4/11/25,9/7/24,,
Hyatt and Sons,Italy,41.902782,12.496366,Government Administration Healthcare,Large (501-1000),John Smith,3/13/24,Services,Churned Customer,7,,,8026,100,11/18/24,3/16/24,,
Hamill-Purdy,Italy,41.902782,12.496366,IT & IT Services,Large (501-1000),Michael Brown,1/18/24,Services,Churned Customer,7,,,15725,10,7/9/24,4/29/24,,
Wiegand LLC,Switzerland,46.204391,6.143158,IT & IT Services,Large (501-1000),Jessica Martinez,4/12/24,SAAS,Churned Customer,7,,,4292,20,7/18/24,5/7/24,,
Bogan-Goldner,Netherlands,52.370216,4.895168,Telecommunications,Large (501-1000),Laura Thompson,3/7/24,Custom solution,Churned Customer,7,,,15281,30,7/17/24,3/18/24,,
Gabtune,Germany,52.520008,13.404954,Government Administration Healthcare,Enterprise (1001+),Emily Johnson,3/7/24,SAAS,Churned Customer,7,,,18599,30,7/27/24,6/11/24,,
"Vandervort, Mosciski and White",France,48.864716,2.349014,Transportation & Logistics,Enterprise (1001+),Laura Thompson,1/6/24,Custom solution,Churned Customer,7,,,2916,20,9/10/24,4/7/24,,
Labadie-Rath,Netherlands,52.370216,4.895168,Agriculture & Mining,Enterprise (1001+),Laura Thompson,4/25/24,Custom solution,Churned Customer,7,,,13151,100,6/9/24,8/1/24,,
Berge LLC,Portugal,38.736946,-9.142685,Transportation & Logistics,Enterprise (1001+),John Smith,4/8/24,Services,Churned Customer,7,,,13724,40,5/1/24,5/31/24,,
"Cole, McKenzie and Lakin",Italy,41.902782,12.496366,Transportation & Logistics,Enterprise (1001+),Jessica Martinez,2/28/24,Custom solution,Churned Customer,7,,,2038,30,8/3/24,6/16/24,,
Quigley-Monahan,Germany,52.520008,13.404954,Education & Science,Enterprise (1001+),David Wilson,5/14/24,Services,Churned Customer,7,,,16079,50,1/19/25,6/1/24,,
Rhycero,France,48.864716,2.349014,Banking and Finance,Small (11-200),Sarah Davis,2/7/24,Custom solution,Customer,6,,,480,50,11/7/24,3/6/24,,
Quimba,Portugal,38.736946,-9.142685,Banking and Finance,Small (11-200),Jessica Martinez,3/29/24,Services,Customer,6,,,1055,90,1/1/25,7/8/24,,
Edgeblab,Belgium,51.260197,4.402771,Agriculture & Mining,Small (11-200),Laura Thompson,1/26/24,Services,Customer,6,,,919,60,4/20/24,3/22/24,,
Twitternation,Austria,48.210033,16.363449,Government Administration Healthcare,Small (11-200),Jessica Martinez,1/9/24,SAAS,Customer,6,,,1130,50,10/15/24,3/12/24,,
"Hoeger, Flatley and Anderson",Germany,52.520008,13.404954,Transportation & Logistics,Small (11-200),Michael Brown,4/20/24,SAAS,Customer,6,,,1936,40,2/21/25,6/14/24,,
"Hermiston, Ziemann and Howell",Italy,41.902782,12.496366,Banking and Finance,Small (11-200),Laura Thompson,2/5/24,Services,Customer,6,,,1643,30,8/12/24,5/30/24,,
"Monahan, Ondricka and Nienow",Portugal,38.736946,-9.142685,Banking and Finance,Small (11-200),John Smith,5/8/24,SAAS,Customer,6,,,1023,20,1/24/25,5/30/24,,
"Kovacek, Hermiston and McCullough",Netherlands,52.370216,4.895168,IT & IT Services,Small (11-200),John Smith,4/27/24,SAAS,Customer,6,,,1086,30,7/22/24,6/12/24,,
Macejkovic LLC,Italy,41.902782,12.496366,Transportation & Logistics,Small (11-200),Laura Thompson,2/26/24,SAAS,Customer,6,,,710,40,8/18/24,5/29/24,,
Keeling-Sauer,Portugal,38.736946,-9.142685,Retail & Distribution,Small (11-200),Emily Johnson,2/17/24,Services,Customer,6,,,1986,50,7/17/24,3/8/24,,
Berge Group,Portugal,38.736946,-9.142685,Banking and Finance,Small (11-200),Laura Thompson,1/22/24,Services,Customer,6,,,765,50,7/12/24,4/7/24,,
Jenkins-Turcotte,France,48.864716,2.349014,Professional Services  & Consulting,Small (11-200),Laura Thompson,3/18/24,Services,Customer,6,,,1071,30,6/3/24,5/25/24,,
Kutch LLC,France,48.864716,2.349014,Banking and Finance,Small (11-200),Jessica Martinez,2/20/24,SAAS,Customer,6,,,1189,20,5/6/24,4/12/24,,
Durgan-Little,France,48.864716,2.349014,Telecommunications,Small (11-200),Laura Thompson,3/5/24,SAAS,Customer,6,,,387,40,5/23/24,6/17/24,,
Hilpert-Wyman,Austria,48.210033,16.363449,Manufacturing & Production,Small (11-200),John Smith,3/29/24,Services,Customer,6,,,404,70,5/30/24,6/10/24,,
Stiedemann-Roob,Italy,41.902782,12.496366,Retail & Distribution,Small (11-200),Jessica Martinez,4/22/24,SAAS,Customer,6,,,789,50,9/3/24,6/8/24,,
"Reichel, Runolfsdottir and Stoltenberg",Italy,41.902782,12.496366,Transportation & Logistics,Small (11-200),Emily Johnson,2/26/24,Services,Customer,6,,,371,40,8/10/24,5/9/24,,
"Terry, Jenkins and Baumbach",Netherlands,52.370216,4.895168,IT & IT Services,Small (11-200),Kevin Anderson,5/13/24,SAAS,Customer,6,,,202,50,10/10/24,8/25/24,,
Runolfsdottir-O'Conner,Italy,41.902782,12.496366,Professional Services  & Consulting,Small (11-200),Michael Brown,5/12/24,Custom solution,Customer,6,,,951,30,9/13/24,5/21/24,,
Kutch Group,France,48.864716,2.349014,Construction & Engineering,Small (11-200),Jessica Martinez,4/16/24,Services,Customer,6,,,633,30,7/28/24,5/29/24,,
"Corwin, Abbott and Robel",Austria,48.210033,16.363449,Professional Services  & Consulting,Small (11-200),Kevin Anderson,4/20/24,SAAS,Customer,6,,,971,90,7/13/24,6/6/24,,
"Ward, Kuhic and Torp",Switzerland,46.204391,6.143158,Energy & Utilities,Small (11-200),John Smith,2/21/24,SAAS,Customer,6,,,1676,10,11/18/24,6/2/24,,
Beier-Lang,France,48.864716,2.349014,IT & IT Services,Small (11-200),Jessica Martinez,4/16/24,SAAS,Customer,6,,,809,30,6/22/24,7/28/24,,
"Auer, Hackett and Bruen",Austria,48.210033,16.363449,Agriculture & Mining,Small (11-200),Michael Brown,2/28/24,Custom solution,Customer,6,,,304,90,6/24/24,5/5/24,,
"Buckridge, Brekke and Daniel",Belgium,51.260197,4.402771,Manufacturing & Production,Small (11-200),Jessica Martinez,4/12/24,SAAS,Customer,6,,,1584,40,5/6/24,6/22/24,,
Fay Inc,France,48.864716,2.349014,Education & Science,Small (11-200),Kevin Anderson,5/22/24,Custom solution,Customer,6,,,894,30,2/19/25,8/11/24,,
"Braun, Goldner and Durgan",France,48.864716,2.349014,Recreation & Sports,Small (11-200),Sarah Davis,4/17/24,SAAS,Customer,6,,,1067,30,3/23/25,4/22/24,,
Gibson-Hettinger,Netherlands,52.370216,4.895168,Professional Services  & Consulting,Small (11-200),Laura Thompson,1/31/24,Services,Customer,6,,,1313,40,6/30/24,2/21/24,,
"Gutmann, Kunze and Schaden",Belgium,51.260197,4.402771,Transportation & Logistics,Small (11-200),Sarah Davis,1/19/24,Services,Customer,6,,,1219,30,4/5/24,2/27/24,,
Schamberger-Dicki,Switzerland,46.204391,6.143158,IT & IT Services,Small (11-200),Laura Thompson,3/6/24,Services,Customer,6,,,1363,30,5/11/24,3/21/24,,
Harvey Inc,Netherlands,52.370216,4.895168,IT & IT Services,Small (11-200),David Wilson,1/10/24,Custom solution,Customer,6,,,1693,80,10/31/24,1/10/24,,
"Bins, Lakin and Daugherty",Italy,41.902782,12.496366,Retail & Distribution,Small (11-200),Sarah Davis,1/4/24,SAAS,Customer,6,,,844,70,12/18/24,2/19/24,,
"Reynolds, Bogisich and Block",Spain,40.416775,-3.703790,Entertainment & Media & Hospitality,Small (11-200),Emily Johnson,5/23/24,Custom solution,Customer,6,,,1336,80,1/13/25,8/12/24,,
"Auer, Schmeler and Morissette",Switzerland,46.204391,6.143158,Transportation & Logistics,Small (11-200),Emily Johnson,3/11/24,Services,Customer,6,,,267,90,4/6/24,3/30/24,,
Hegmann Group,Portugal,38.736946,-9.142685,Energy & Utilities,Small (11-200),Laura Thompson,1/11/24,Custom solution,Customer,6,,,559,40,11/23/24,5/1/24,,
Will-Stamm,Netherlands,52.370216,4.895168,IT & IT Services,Small (11-200),Jessica Martinez,3/26/24,Custom solution,Customer,6,,,1204,20,6/11/24,6/19/24,,
Goldner-Weimann,France,48.864716,2.349014,Banking and Finance,Small (11-200),Laura Thompson,2/21/24,Services,Customer,6,,,1938,20,2/12/25,3/17/24,,
Hodkiewicz-Howe,Italy,41.902782,12.496366,Transportation & Logistics,Small (11-200),Michael Brown,4/25/24,SAAS,Customer,6,,,985,40,2/28/25,8/21/24,,
Keeling Inc,France,48.864716,2.349014,Telecommunications,Small (11-200),Michael Brown,2/7/24,Services,Customer,6,,,1787,60,8/18/24,5/16/24,,
Harris Inc,Portugal,38.736946,-9.142685,Transportation & Logistics,Small (11-200),Michael Brown,3/23/24,SAAS,Customer,6,,,1949,50,3/17/25,5/9/24,,
Roberts and Sons,Belgium,51.260197,4.402771,Recreation & Sports,Small (11-200),Kevin Anderson,1/19/24,Services,Customer,6,,,1964,70,10/8/24,3/3/24,,
Hauck-Beahan,Italy,41.902782,12.496366,Construction & Engineering,Small (11-200),Laura Thompson,4/3/24,Services,Customer,6,,,825,50,9/3/24,8/1/24,,
"Ryan, Toy and O'Reilly",France,48.864716,2.349014,Banking and Finance,Small (11-200),Laura Thompson,5/28/24,SAAS,Customer,6,,,559,90,3/23/25,8/2/24,,
Orn Inc,Germany,52.520008,13.404954,Telecommunications,Small (11-200),Michael Brown,2/3/24,Services,Customer,6,,,1905,30,7/29/24,6/2/24,,
Kuhlman Inc,France,48.864716,2.349014,Professional Services  & Consulting,Small (11-200),John Smith,3/14/24,SAAS,Customer,6,,,1472,30,4/18/24,7/1/24,,
"Von, Becker and Fisher",Netherlands,52.370216,4.895168,Government Administration Healthcare,Small (11-200),Michael Brown,1/10/24,SAAS,Customer,6,,,623,30,10/25/24,3/1/24,,
"Mertz, Casper and Klein",Belgium,51.260197,4.402771,IT & IT Services,Small (11-200),Michael Brown,3/16/24,Services,Customer,6,,,555,50,2/20/25,6/5/24,,
"Botsford, King and Steuber",Austria,48.210033,16.363449,IT & IT Services,Small (11-200),Laura Thompson,5/4/24,SAAS,Customer,6,,,1662,40,9/30/24,7/11/24,,
Funk-Hane,France,48.864716,2.349014,Telecommunications,Small (11-200),Jessica Martinez,4/9/24,Services,Customer,6,,,928,20,1/30/25,7/14/24,,
Hartmann-Pollich,Spain,40.416775,-3.703790,Transportation & Logistics,Small (11-200),David Wilson,4/11/24,Services,Customer,6,,,901,10,2/4/25,6/8/24,,
Frami-Gusikowski,Germany,52.520008,13.404954,Government Administration Healthcare,Small (11-200),Laura Thompson,3/20/24,SAAS,Customer,6,,,954,70,6/8/24,7/9/24,,
Lueilwitz Inc,France,48.864716,2.349014,Entertainment & Media & Hospitality,Small (11-200),Emily Johnson,2/8/24,SAAS,Customer,6,,,1328,40,3/7/24,4/1/24,,
Kreiger-Rice,Belgium,51.260197,4.402771,Transportation & Logistics,Small (11-200),Michael Brown,2/10/24,SAAS,Customer,6,,,1707,100,11/22/24,4/26/24,,
Blick Inc,Switzerland,46.204391,6.143158,IT & IT Services,Small (11-200),John Smith,1/7/24,SAAS,Customer,6,,,513,90,3/13/24,3/23/24,,
Bauch-Morar,France,48.864716,2.349014,Professional Services  & Consulting,Small (11-200),Laura Thompson,5/8/24,Custom solution,Customer,6,,,1563,20,8/5/24,6/5/24,,
"Auer, Deckow and Torp",Portugal,38.736946,-9.142685,Professional Services  & Consulting,Small (11-200),Jessica Martinez,2/29/24,SAAS,Customer,6,,,1898,40,10/24/24,5/4/24,,
Kuvalis-Strosin,Germany,52.520008,13.404954,Transportation & Logistics,Small (11-200),Michael Brown,3/25/24,Custom solution,Customer,6,,,480,40,4/23/24,6/4/24,,
Hintz-Fadel,Belgium,51.260197,4.402771,Transportation & Logistics,Small (11-200),Jessica Martinez,2/22/24,SAAS,Customer,6,,,563,40,2/15/25,5/11/24,,
Kiehn-Bernier,Portugal,38.736946,-9.142685,Banking and Finance,Small (11-200),Laura Thompson,1/7/24,Custom solution,Customer,6,,,583,60,11/24/24,3/20/24,,
Zooxo,Switzerland,46.204391,6.143158,IT & IT Services,Micro (1-10),Sarah Davis,2/14/24,Services,Customer,6,,,974,100,1/22/25,5/20/24,,
Jetpulse,Germany,52.520008,13.404954,IT & IT Services,Micro (1-10),John Smith,4/18/24,SAAS,Customer,6,,,595,20,1/26/25,5/19/24,,
InnoZ,Italy,41.902782,12.496366,Transportation & Logistics,Micro (1-10),Emily Johnson,1/20/24,SAAS,Customer,6,,,283,20,11/1/24,4/20/24,,
Chatterpoint,Switzerland,46.204391,6.143158,Manufacturing & Production,Micro (1-10),Michael Brown,3/10/24,SAAS,Customer,6,,,545,30,6/1/24,5/30/24,,
Trunyx,Spain,40.416775,-3.703790,Transportation & Logistics,Micro (1-10),David Wilson,2/24/24,Services,Customer,6,,,1024,30,8/30/24,4/2/24,,
"Luettgen, Franecki and Roberts",Portugal,38.736946,-9.142685,Government Administration Healthcare,Micro (1-10),Jessica Martinez,2/10/24,SAAS,Customer,6,,,308,40,11/14/24,6/2/24,,
"Kilback, Cremin and Bergnaum",Belgium,51.260197,4.402771,Banking and Finance,Micro (1-10),Laura Thompson,5/23/24,Services,Customer,6,,,828,60,9/18/24,7/3/24,,
Toy-O'Hara,Italy,41.902782,12.496366,Professional Services  & Consulting,Micro (1-10),John Smith,1/16/24,SAAS,Customer,6,,,809,20,9/10/24,3/28/24,,
"Lubowitz, Herman and Fisher",Italy,41.902782,12.496366,Transportation & Logistics,Micro (1-10),Laura Thompson,4/22/24,SAAS,Customer,6,,,535,20,11/19/24,6/19/24,,
"Schulist, Bailey and Dickens",Portugal,38.736946,-9.142685,Transportation & Logistics,Micro (1-10),Kevin Anderson,4/3/24,SAAS,Customer,6,,,1129,20,4/24/24,7/28/24,,
Jakubowski-Purdy,Spain,40.416775,-3.703790,Professional Services  & Consulting,Micro (1-10),Michael Brown,4/4/24,SAAS,Customer,6,,,1116,100,5/19/24,6/19/24,,
Hackett LLC,Austria,48.210033,16.363449,Transportation & Logistics,Micro (1-10),Michael Brown,4/2/24,Services,Customer,6,,,1039,80,10/18/24,4/9/24,,
Gottlieb Group,Netherlands,52.370216,4.895168,Retail & Distribution,Micro (1-10),Jessica Martinez,1/31/24,SAAS,Customer,6,,,674,30,4/13/24,1/31/24,,
Hermiston-Hyatt,Switzerland,46.204391,6.143158,Agriculture & Mining,Micro (1-10),Sarah Davis,5/18/24,Custom solution,Customer,6,,,1017,20,9/24/24,7/3/24,,
Goldner LLC,Portugal,38.736946,-9.142685,Education & Science,Micro (1-10),Laura Thompson,4/8/24,SAAS,Customer,6,,,824,20,9/16/24,5/15/24,,
"Deckow, Dicki and Pagac",Spain,40.416775,-3.703790,Professional Services  & Consulting,Micro (1-10),David Wilson,2/24/24,Services,Customer,6,,,302,40,5/9/24,4/15/24,,
Kuphal-Wuckert,Belgium,51.260197,4.402771,Transportation & Logistics,Micro (1-10),Michael Brown,5/2/24,SAAS,Customer,6,,,1076,40,6/12/24,5/31/24,,
Yundt-McLaughlin,Austria,48.210033,16.363449,Professional Services  & Consulting,Micro (1-10),Laura Thompson,4/17/24,SAAS,Customer,6,,,724,60,3/1/25,5/13/24,,
"D'Amore, Auer and Wilkinson",Italy,41.902782,12.496366,Manufacturing & Production,Micro (1-10),Laura Thompson,1/11/24,Services,Customer,6,,,406,10,4/24/24,3/6/24,,
Fahey-Kulas,Italy,41.902782,12.496366,IT & IT Services,Micro (1-10),Sarah Davis,1/29/24,Services,Customer,6,,,622,10,11/26/24,3/9/24,,
"Osinski, Langworth and Auer",Switzerland,46.204391,6.143158,Agriculture & Mining,Micro (1-10),Michael Brown,5/22/24,SAAS,Customer,6,,,717,30,5/8/25,7/20/24,,
"Hane, Hettinger and Denesik",Netherlands,52.370216,4.895168,Transportation & Logistics,Micro (1-10),Laura Thompson,3/17/24,Custom solution,Customer,6,,,1081,80,4/29/24,4/14/24,,
Rohan Inc,Portugal,38.736946,-9.142685,IT & IT Services,Micro (1-10),Laura Thompson,5/4/24,SAAS,Customer,6,,,1127,80,6/22/24,6/25/24,,
"Koelpin, Bahringer and Beatty",Netherlands,52.370216,4.895168,Education & Science,Micro (1-10),Laura Thompson,5/8/24,Services,Customer,6,,,667,60,2/3/25,6/3/24,,
Flatley-Metz,Germany,52.520008,13.404954,Transportation & Logistics,Micro (1-10),Kevin Anderson,5/20/24,Services,Customer,6,,,541,30,1/14/25,6/10/24,,
Reilly-Dicki,Italy,41.902782,12.496366,IT & IT Services,Micro (1-10),John Smith,1/19/24,SAAS,Customer,6,,,988,60,6/15/24,4/4/24,,
"Pagac, Marvin and Wilkinson",France,48.864716,2.349014,Entertainment & Media & Hospitality,Micro (1-10),Laura Thompson,1/25/24,Services,Customer,6,,,659,40,11/11/24,3/8/24,,
Stanton-Adams,Italy,41.902782,12.496366,Banking and Finance,Micro (1-10),Emily Johnson,2/19/24,Custom solution,Customer,6,,,214,30,10/5/24,3/12/24,,
"Ward, Rau and Ledner",Belgium,51.260197,4.402771,Agriculture & Mining,Micro (1-10),Laura Thompson,1/27/24,SAAS,Customer,6,,,248,30,1/13/25,4/2/24,,
Thiel-Ullrich,Austria,48.210033,16.363449,Recreation & Sports,Micro (1-10),Laura Thompson,3/13/24,Services,Customer,6,,,609,30,5/24/24,6/24/24,,
Johnson-Macejkovic,Italy,41.902782,12.496366,Transportation & Logistics,Micro (1-10),John Smith,4/22/24,Services,Customer,6,,,651,20,8/8/24,6/6/24,,
Koch-Lakin,Italy,41.902782,12.496366,Transportation & Logistics,Micro (1-10),Laura Thompson,3/29/24,SAAS,Customer,6,,,341,60,7/21/24,6/23/24,,
Bauch-Fritsch,Belgium,51.260197,4.402771,Professional Services  & Consulting,Micro (1-10),Laura Thompson,5/18/24,SAAS,Customer,6,,,1140,20,5/5/25,8/15/24,,
"Kihn, Swaniawski and Lebsack",Portugal,38.736946,-9.142685,Manufacturing & Production,Micro (1-10),David Wilson,2/2/24,SAAS,Customer,6,,,801,40,5/7/24,4/14/24,,
Barrows LLC,Netherlands,52.370216,4.895168,IT & IT Services,Micro (1-10),Kevin Anderson,5/17/24,Services,Customer,6,,,200,20,7/12/24,8/12/24,,
"Langworth, Lemke and Carroll",Italy,41.902782,12.496366,Government Administration Healthcare,Micro (1-10),Sarah Davis,2/21/24,Services,Customer,6,,,1048,80,10/12/24,5/25/24,,
"Kilback, Johns and Dicki",Portugal,38.736946,-9.142685,Recreation & Sports,Micro (1-10),Laura Thompson,2/5/24,Services,Customer,6,,,1130,40,3/25/24,2/22/24,,
"Labadie, Sawayn and Ruecker",Italy,41.902782,12.496366,Transportation & Logistics,Micro (1-10),Kevin Anderson,4/2/24,SAAS,Customer,6,,,237,50,11/3/24,5/21/24,,
Kazio,Portugal,38.736946,-9.142685,IT & IT Services,Medium (201-500),Kevin Anderson,2/25/24,SAAS,Customer,6,,,947,30,8/17/24,3/1/24,,
Jayo,Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),Emily Johnson,2/16/24,SAAS,Customer,6,,,562,40,11/28/24,3/31/24,,
Feedspan,Germany,52.520008,13.404954,Banking and Finance,Medium (201-500),Kevin Anderson,1/20/24,Services,Customer,6,,,3729,40,4/4/24,4/19/24,,
Browsecat,Austria,48.210033,16.363449,IT & IT Services,Medium (201-500),Jessica Martinez,3/6/24,Services,Customer,6,,,762,20,9/2/24,6/1/24,,
